EDUCATION,SOUTH,SEX,EXPERIENCE,UNION,WAGE,AGE,RACE,OCCUPATION,SECTOR,MARR
8,NORTH,FEMALE,21,False,5.1,35,Hispanic,Other,Manufacturing,True
9,NORTH,FEMALE,42,False,4.95,57,White,Other,Manufacturing,True
12,NORTH,MALE,1,False,6.67,19,White,Other,Manufacturing,False
12,NORTH,MALE,4,False,4.0,22,White,Other,Other,False
12,NORTH,MALE,17,False,7.5,35,White,Other,Other,True
13,NORTH,MALE,9,True,13.07,28,White,Other,Other,False
10,SOUTH,MALE,27,False,4.45,43,White,Other,Other,False
12,NORTH,MALE,9,False,19.47,27,White,Other,Other,False
16,NORTH,MALE,11,False,13.28,33,White,Other,Manufacturing,True
12,NORTH,MALE,9,False,8.75,27,White,Other,Other,False
12,NORTH,MALE,17,True,11.35,35,White,Other,Other,True
12,NORTH,MALE,19,True,11.5,37,White,Other,Manufacturing,False
8,SOUTH,MALE,27,False,6.5,41,White,Other,Other,True
9,SOUTH,MALE,30,True,6.25,45,White,Other,Other,False
9,SOUTH,MALE,29,False,19.98,44,White,Other,Other,True
12,NORTH,MALE,37,False,7.3,55,White,Other,Construction,True
7,SOUTH,MALE,44,False,8.0,57,White,Other,Other,True
12,NORTH,MALE,26,True,22.2,44,White,Other,Manufacturing,True
11,NORTH,MALE,16,False,3.65,33,White,Other,Other,False
12,NORTH,MALE,33,False,20.55,51,White,Other,Other,True
12,NORTH,FEMALE,16,True,5.71,34,White,Other,Manufacturing,True
7,NORTH,MALE,42,True,7.0,55,Other,Other,Manufacturing,True
12,NORTH,MALE,9,False,3.75,27,White,Other,Other,False
11,SOUTH,MALE,14,False,4.5,31,Other,Other,Other,True
12,NORTH,MALE,23,False,9.56,41,White,Other,Other,True
6,SOUTH,MALE,45,False,5.75,57,White,Other,Manufacturing,True
12,NORTH,MALE,8,False,9.36,26,White,Other,Manufacturing,True
10,NORTH,MALE,30,False,6.5,46,White,Other,Other,True
12,NORTH,FEMALE,8,False,3.35,26,White,Other,Manufacturing,True
12,NORTH,MALE,8,False,4.75,26,White,Other,Other,True
14,NORTH,MALE,13,False,8.9,33,White,Other,Other,False
12,SOUTH,FEMALE,46,False,4.0,64,White,Other,Other,False
8,NORTH,MALE,19,False,4.7,33,White,Other,Other,True
17,SOUTH,FEMALE,1,False,5.0,24,White,Other,Other,False
12,NORTH,MALE,19,False,9.25,37,White,Other,Manufacturing,False
12,NORTH,MALE,36,False,10.67,54,Other,Other,Other,False
12,SOUTH,MALE,20,False,7.61,38,Other,Other,Construction,True
12,NORTH,MALE,35,True,10.0,53,Other,Other,Construction,True
12,NORTH,MALE,3,False,7.5,21,White,Other,Other,False
14,SOUTH,MALE,10,False,12.2,30,White,Other,Manufacturing,True
12,NORTH,MALE,0,False,3.35,18,White,Other,Other,False
14,SOUTH,MALE,14,True,11.0,34,White,Other,Manufacturing,True
12,NORTH,MALE,14,False,12.0,32,White,Other,Manufacturing,True
9,NORTH,FEMALE,16,False,4.85,31,White,Other,Manufacturing,True
13,SOUTH,MALE,8,False,4.3,27,White,Other,Construction,False
7,SOUTH,FEMALE,15,False,6.0,28,White,Other,Manufacturing,True
16,NORTH,MALE,12,False,15.0,34,White,Other,Manufacturing,True
10,SOUTH,MALE,13,False,4.85,29,White,Other,Other,False
8,NORTH,MALE,33,True,9.0,47,White,Other,Other,True
12,NORTH,MALE,9,False,6.36,27,White,Other,Manufacturing,True
12,NORTH,MALE,7,False,9.15,25,White,Other,Other,True
16,NORTH,MALE,13,True,11.0,35,White,Other,Manufacturing,True
12,NORTH,FEMALE,7,False,4.5,25,White,Other,Manufacturing,True
12,NORTH,FEMALE,16,False,4.8,34,White,Other,Manufacturing,True
13,NORTH,MALE,0,False,4.0,19,White,Other,Other,False
12,NORTH,FEMALE,11,False,5.5,29,White,Other,Manufacturing,False
13,NORTH,MALE,17,False,8.4,36,White,Other,Manufacturing,False
10,NORTH,MALE,13,False,6.75,29,White,Other,Manufacturing,True
12,NORTH,MALE,22,True,10.0,40,Other,Other,Manufacturing,False
12,NORTH,FEMALE,28,False,5.0,46,White,Other,Manufacturing,True
11,NORTH,MALE,17,False,6.5,34,White,Other,Other,False
12,NORTH,MALE,24,True,10.75,42,White,Other,Construction,True
3,SOUTH,MALE,55,False,7.0,64,Hispanic,Other,Manufacturing,True
12,SOUTH,MALE,3,False,11.43,21,White,Other,Construction,False
12,NORTH,MALE,6,True,4.0,24,Other,Other,Manufacturing,False
10,NORTH,MALE,27,False,9.0,43,White,Other,Construction,True
12,SOUTH,MALE,19,True,13.0,37,Other,Other,Manufacturing,True
12,NORTH,MALE,19,True,12.22,37,White,Other,Construction,True
12,NORTH,FEMALE,38,False,6.28,56,White,Other,Manufacturing,True
10,SOUTH,MALE,41,True,6.75,57,Other,Other,Manufacturing,True
11,SOUTH,MALE,3,False,3.35,20,Other,Other,Manufacturing,False
14,NORTH,MALE,20,True,16.0,40,White,Other,Other,True
10,NORTH,MALE,15,False,5.25,31,White,Other,Other,True
8,SOUTH,MALE,8,False,3.5,22,Hispanic,Other,Manufacturing,True
8,SOUTH,FEMALE,39,False,4.22,53,White,Other,Manufacturing,True
6,NORTH,FEMALE,43,True,3.0,55,Hispanic,Other,Manufacturing,True
11,SOUTH,FEMALE,25,True,4.0,42,White,Other,Manufacturing,True
12,NORTH,MALE,11,True,10.0,29,White,Other,Other,True
12,NORTH,MALE,12,False,5.0,30,Other,Other,Other,True
12,SOUTH,MALE,35,True,16.0,53,White,Other,Manufacturing,True
14,NORTH,MALE,14,False,13.98,34,White,Other,Other,False
12,NORTH,MALE,16,True,13.26,34,White,Other,Other,True
10,NORTH,FEMALE,44,True,6.1,60,White,Other,Manufacturing,False
16,SOUTH,FEMALE,13,False,3.75,35,White,Other,Other,False
13,NORTH,MALE,8,True,9.0,27,Other,Other,Manufacturing,False
12,NORTH,MALE,13,False,9.45,31,White,Other,Manufacturing,False
11,NORTH,MALE,18,True,5.5,35,White,Other,Other,True
12,NORTH,FEMALE,18,False,8.93,36,White,Other,Other,True
12,SOUTH,FEMALE,6,False,6.25,24,White,Other,Other,False
11,SOUTH,MALE,37,True,9.75,54,White,Other,Manufacturing,True
12,SOUTH,MALE,2,False,6.73,20,White,Other,Manufacturing,True
12,NORTH,MALE,23,False,7.78,41,White,Other,Manufacturing,True
12,NORTH,MALE,1,False,2.85,19,White,Other,Other,False
12,SOUTH,FEMALE,10,False,3.35,28,Other,Other,Manufacturing,True
12,NORTH,MALE,23,False,19.98,41,White,Other,Manufacturing,True
12,NORTH,MALE,8,True,8.5,26,Other,Other,Other,True
15,NORTH,FEMALE,9,False,9.75,30,White,Other,Manufacturing,True
12,NORTH,MALE,33,True,15.0,51,White,Other,Construction,True
12,NORTH,FEMALE,19,False,8.0,37,White,Other,Manufacturing,True
13,NORTH,MALE,14,False,11.25,33,White,Other,Other,True
11,NORTH,MALE,13,True,14.0,30,White,Other,Other,True
10,NORTH,MALE,12,False,10.0,28,White,Other,Construction,True
12,NORTH,MALE,8,False,6.5,26,White,Other,Other,False
12,NORTH,MALE,23,False,9.83,41,White,Other,Manufacturing,True
14,NORTH,FEMALE,13,False,18.5,33,White,Other,Manufacturing,False
12,SOUTH,MALE,9,False,12.5,27,White,Other,Other,True
14,NORTH,MALE,21,True,26.0,41,White,Other,Other,True
5,SOUTH,MALE,44,False,14.0,55,White,Other,Construction,True
12,NORTH,MALE,4,True,10.5,22,White,Other,Other,True
8,NORTH,MALE,42,False,11.0,56,White,Other,Manufacturing,True
13,NORTH,MALE,10,True,12.47,29,White,Other,Other,True
12,NORTH,MALE,11,False,12.5,29,White,Other,Construction,False
12,NORTH,MALE,40,True,15.0,58,White,Other,Construction,True
12,NORTH,MALE,8,False,6.0,26,White,Other,Construction,False
11,SOUTH,MALE,29,False,9.5,46,White,Other,Construction,True
16,NORTH,MALE,3,True,5.0,25,White,Other,Other,False
11,NORTH,MALE,11,False,3.75,28,White,Other,Construction,False
12,NORTH,MALE,12,True,12.57,30,White,Other,Other,True
8,NORTH,FEMALE,22,False,6.88,36,Hispanic,Other,Other,True
12,NORTH,MALE,12,False,5.5,30,White,Other,Other,True
12,NORTH,MALE,7,True,7.0,25,White,Other,Other,True
12,NORTH,FEMALE,15,False,4.5,33,White,Other,Manufacturing,False
12,NORTH,MALE,28,False,6.5,46,White,Other,Other,True
12,SOUTH,MALE,20,True,12.0,38,White,Other,Manufacturing,True
12,SOUTH,MALE,6,False,5.0,24,White,Other,Construction,False
12,SOUTH,MALE,5,False,6.5,23,White,Other,Manufacturing,False
9,SOUTH,FEMALE,30,False,6.8,45,White,Other,Manufacturing,True
13,NORTH,MALE,18,False,8.75,37,White,Other,Other,True
12,SOUTH,FEMALE,6,False,3.75,24,Other,Other,Manufacturing,True
12,SOUTH,MALE,16,False,4.5,34,Hispanic,Other,Other,False
12,SOUTH,MALE,1,True,6.0,19,Hispanic,Other,Other,False
12,NORTH,MALE,3,False,5.5,21,White,Other,Manufacturing,False
12,NORTH,MALE,8,False,13.0,26,White,Other,Other,True
14,NORTH,MALE,2,False,5.65,22,White,Other,Manufacturing,False
9,NORTH,MALE,16,False,4.8,31,Other,Other,Manufacturing,False
10,SOUTH,MALE,9,False,7.0,25,White,Other,Construction,True
12,NORTH,MALE,2,False,5.25,20,White,Other,Other,False
7,SOUTH,MALE,43,False,3.35,56,White,Other,Manufacturing,True
9,NORTH,MALE,38,False,8.5,53,White,Other,Manufacturing,True
12,NORTH,MALE,9,False,6.0,27,White,Other,Other,True
12,SOUTH,MALE,12,False,6.75,30,White,Other,Other,True
12,NORTH,MALE,18,False,8.89,36,White,Other,Manufacturing,True
11,NORTH,MALE,15,True,14.21,32,White,Other,Manufacturing,False
11,SOUTH,MALE,28,True,10.78,45,Other,Other,Construction,True
10,SOUTH,MALE,27,True,8.9,43,White,Other,Construction,True
12,SOUTH,MALE,38,False,7.5,56,White,Other,Other,True
12,NORTH,FEMALE,3,False,4.5,21,White,Other,Manufacturing,False
12,NORTH,MALE,41,True,11.25,59,White,Other,Other,True
12,SOUTH,MALE,16,True,13.45,34,White,Other,Other,True
13,SOUTH,MALE,7,False,6.0,26,White,Other,Manufacturing,True
6,SOUTH,FEMALE,33,False,4.62,45,Other,Other,Manufacturing,False
14,NORTH,MALE,25,False,10.58,45,White,Other,Manufacturing,True
12,SOUTH,MALE,5,False,5.0,23,White,Other,Other,True
14,SOUTH,MALE,17,False,8.2,37,Other,Other,Other,False
12,SOUTH,MALE,1,False,6.25,19,White,Other,Other,False
12,NORTH,MALE,13,False,8.5,31,White,Other,Manufacturing,True
16,NORTH,MALE,18,False,24.98,40,White,Management,Other,True
14,SOUTH,MALE,21,False,16.65,41,White,Management,Other,True
14,NORTH,MALE,2,False,6.25,22,White,Management,Other,False
12,SOUTH,FEMALE,4,False,4.55,22,Hispanic,Management,Other,False
12,SOUTH,FEMALE,30,False,11.25,48,Hispanic,Management,Other,True
13,NORTH,MALE,32,False,21.25,51,White,Management,Other,False
17,NORTH,FEMALE,13,False,12.65,36,White,Management,Other,True
12,NORTH,MALE,17,False,7.5,35,White,Management,Other,False
14,NORTH,FEMALE,26,False,10.25,46,White,Management,Other,True
16,NORTH,MALE,9,False,3.35,31,White,Management,Other,False
16,NORTH,MALE,8,False,13.45,30,Other,Management,Other,False
15,NORTH,MALE,1,True,4.84,22,White,Management,Other,True
17,SOUTH,MALE,32,False,26.29,55,White,Management,Other,True
12,NORTH,FEMALE,24,False,6.58,42,White,Management,Other,True
14,NORTH,FEMALE,1,False,44.5,21,White,Management,Other,False
12,NORTH,MALE,42,False,15.0,60,White,Management,Manufacturing,True
16,NORTH,FEMALE,3,False,11.25,25,Other,Management,Manufacturing,False
12,NORTH,FEMALE,32,False,7.0,50,White,Management,Other,True
14,NORTH,MALE,22,False,10.0,42,Other,Management,Other,False
16,NORTH,MALE,18,False,14.53,40,White,Management,Other,True
18,NORTH,FEMALE,19,False,20.0,43,White,Management,Other,True
15,NORTH,MALE,12,False,22.5,33,White,Management,Other,True
12,NORTH,FEMALE,42,False,3.64,60,White,Management,Other,True
12,SOUTH,MALE,34,False,10.62,52,White,Management,Other,True
18,NORTH,MALE,29,False,24.98,53,White,Management,Other,True
16,SOUTH,MALE,8,False,6.0,30,White,Management,Other,False
18,NORTH,MALE,13,False,19.0,37,White,Management,Manufacturing,False
16,NORTH,MALE,10,False,13.2,32,White,Management,Other,False
16,NORTH,MALE,22,False,22.5,44,White,Management,Other,True
16,SOUTH,MALE,10,False,15.0,32,White,Management,Other,True
17,NORTH,FEMALE,15,False,6.88,38,White,Management,Other,True
12,NORTH,MALE,26,False,11.84,44,White,Management,Other,True
14,NORTH,MALE,16,False,16.14,36,White,Management,Other,False
18,NORTH,FEMALE,14,False,13.95,38,White,Management,Other,True
12,NORTH,FEMALE,38,False,13.16,56,White,Management,Other,True
12,SOUTH,MALE,14,False,5.3,32,Other,Management,Other,True
12,NORTH,FEMALE,7,False,4.5,25,White,Management,Other,True
18,SOUTH,FEMALE,13,False,10.0,37,White,Management,Other,False
10,NORTH,MALE,20,False,10.0,36,White,Management,Other,True
16,NORTH,MALE,7,True,10.0,29,Hispanic,Management,Other,True
16,NORTH,FEMALE,26,False,9.37,48,White,Management,Other,True
16,NORTH,MALE,14,False,5.8,36,White,Management,Other,True
13,NORTH,MALE,36,False,17.86,55,White,Management,Other,False
12,NORTH,MALE,24,False,1.0,42,White,Management,Other,True
14,SOUTH,MALE,41,False,8.8,61,White,Management,Other,True
16,NORTH,MALE,7,False,9.0,29,Other,Management,Other,True
17,SOUTH,MALE,14,False,18.16,37,White,Management,Other,False
12,SOUTH,FEMALE,1,False,7.81,19,White,Management,Other,False
16,NORTH,FEMALE,6,False,10.62,28,White,Management,Manufacturing,True
12,NORTH,FEMALE,3,False,4.5,21,White,Management,Other,True
15,NORTH,MALE,31,False,17.25,52,White,Management,Other,True
13,NORTH,FEMALE,14,False,10.5,33,White,Management,Manufacturing,True
14,NORTH,FEMALE,13,False,9.22,33,White,Management,Other,True
16,NORTH,MALE,26,True,15.0,48,Other,Management,Manufacturing,True
18,NORTH,MALE,14,False,22.5,38,White,Management,Other,True
13,NORTH,FEMALE,33,False,4.55,52,White,Sales,Other,True
12,NORTH,MALE,16,False,9.0,34,White,Sales,Other,True
18,NORTH,MALE,10,False,13.33,34,White,Sales,Other,True
14,NORTH,MALE,22,False,15.0,42,White,Sales,Other,False
14,NORTH,MALE,2,False,7.5,22,White,Sales,Other,False
12,SOUTH,FEMALE,29,False,4.25,47,White,Sales,Other,True
12,NORTH,MALE,43,False,12.5,61,White,Sales,Manufacturing,True
12,NORTH,FEMALE,5,False,5.13,23,White,Sales,Other,True
16,SOUTH,FEMALE,14,False,3.35,36,Other,Sales,Other,True
12,SOUTH,MALE,28,False,11.11,46,White,Sales,Other,True
11,SOUTH,FEMALE,25,False,3.84,42,Other,Sales,Other,True
12,NORTH,FEMALE,45,False,6.4,63,White,Sales,Other,True
14,SOUTH,MALE,5,False,5.56,25,White,Sales,Other,False
12,SOUTH,MALE,20,False,10.0,38,White,Sales,Manufacturing,True
16,NORTH,FEMALE,6,False,5.65,28,White,Sales,Other,True
16,NORTH,MALE,16,False,11.5,38,White,Sales,Other,True
11,NORTH,FEMALE,33,False,3.5,50,White,Sales,Other,True
13,SOUTH,FEMALE,2,False,3.35,21,White,Sales,Other,True
12,SOUTH,FEMALE,10,False,4.75,28,White,Sales,Other,False
14,SOUTH,MALE,44,False,19.98,64,White,Sales,Other,True
14,SOUTH,FEMALE,6,False,3.5,26,White,Sales,Other,True
12,NORTH,FEMALE,15,False,4.0,33,White,Sales,Other,False
12,NORTH,MALE,5,False,7.0,23,White,Sales,Other,True
13,NORTH,FEMALE,4,False,6.25,23,White,Sales,Manufacturing,True
14,NORTH,MALE,14,False,4.5,34,White,Sales,Other,True
14,NORTH,FEMALE,32,False,14.29,52,White,Sales,Other,True
12,NORTH,FEMALE,14,False,5.0,32,White,Sales,Other,True
14,NORTH,MALE,21,False,13.75,41,White,Sales,Other,True
12,NORTH,MALE,43,True,13.71,61,White,Sales,Other,True
12,SOUTH,FEMALE,27,False,7.5,45,Other,Sales,Other,True
12,NORTH,FEMALE,4,False,3.8,22,White,Sales,Other,False
14,NORTH,MALE,0,False,5.0,20,Hispanic,Sales,Other,False
12,SOUTH,MALE,32,False,9.42,50,White,Sales,Other,True
12,NORTH,MALE,20,False,5.5,38,White,Sales,Other,True
15,SOUTH,MALE,4,False,3.75,25,White,Sales,Other,False
12,NORTH,MALE,34,False,3.5,52,White,Sales,Other,True
13,NORTH,MALE,5,False,5.8,24,White,Sales,Other,False
17,NORTH,MALE,13,False,12.0,36,White,Sales,Manufacturing,True
14,NORTH,FEMALE,17,False,5.0,37,Hispanic,Clerical,Other,True
13,SOUTH,FEMALE,10,False,8.75,29,White,Clerical,Other,True
16,NORTH,FEMALE,7,False,10.0,29,White,Clerical,Other,True
12,NORTH,FEMALE,25,False,8.5,43,White,Clerical,Other,False
12,NORTH,FEMALE,18,False,8.63,36,Other,Clerical,Other,True
16,NORTH,FEMALE,27,False,9.0,49,White,Clerical,Manufacturing,True
16,NORTH,FEMALE,2,False,5.5,24,White,Clerical,Other,False
13,NORTH,MALE,13,False,11.11,32,White,Clerical,Other,True
14,NORTH,FEMALE,24,False,10.0,44,White,Clerical,Other,False
18,SOUTH,FEMALE,13,False,5.2,37,Hispanic,Clerical,Other,True
14,NORTH,FEMALE,15,True,8.0,35,White,Clerical,Other,False
12,SOUTH,FEMALE,12,False,3.56,30,Hispanic,Clerical,Other,False
12,NORTH,FEMALE,24,False,5.2,42,White,Clerical,Other,True
12,NORTH,FEMALE,43,False,11.67,61,White,Clerical,Construction,True
12,NORTH,FEMALE,13,False,11.32,31,White,Clerical,Manufacturing,True
12,SOUTH,FEMALE,16,False,7.5,34,White,Clerical,Other,True
11,NORTH,FEMALE,24,False,5.5,41,White,Clerical,Other,True
16,SOUTH,FEMALE,4,False,5.0,26,White,Clerical,Other,True
12,NORTH,FEMALE,24,False,7.75,42,White,Clerical,Other,True
12,NORTH,FEMALE,45,False,5.25,63,White,Clerical,Other,True
